project_id,verdict,reason,primary_repo,commit,delivered_date,n_delivery_files,own_org_repos,shared_repos,planned_pm
idavoll_network,INCLUDED,single separable primary repo + dated delivery,https://github.com/idavollnetwork/idavoll,,2021-06-17,1,idavollnetwork/idavoll,w3f/General-Grants-Program;w3f/Open-Grants-Program,
identics_identity_indexer,INCLUDED,single separable primary repo + dated delivery,https://github.com/vikiival/identics,,2025-09-09,1,vikiival/identics;casey/just,,6.00
identity_directory,INCLUDED,single separable primary repo + dated delivery,https://github.com/Shard-Labs/identity-directory,,2021-10-18,2,Shard-Labs/identity-directory;Shard-Labs/identity-hub,w3f/General-Grants-Program;w3f/Open-Grants-Program,
imbue_network,INCLUDED,single separable primary repo + dated delivery,https://github.com/imbuenetwork/imbue,,2022-03-23,2,imbuenetwork/imbue;ImbueNetwork/imbue;ImbueNetwork/prototype;ImbueNetwork/dapp,,0.00
infimum,INCLUDED,single separable primary repo + dated delivery,https://github.com/rhysbalevicius/infimum,,2024-12-09,2,rhysbalevicius/infimum;arkworks-rs/groth16;zkcrypto/bellman,,0.00
ink-analyzer,INCLUDED,single separable primary repo + dated delivery,https://github.com/ink-analyzer/ink-analyzer,,2023-08-04,4,ink-analyzer/ink-analyzer;ink-analyzer/ink-vscode,paritytech/ink,
ink-analyzer-phase,INCLUDED,single separable primary repo + dated delivery,https://github.com/ink-analyzer/ink-analyzer,,2024-02-05,7,ink-analyzer/ink-analyzer;ink-analyzer/ink-vscode,,
ink-boxes,INCLUDED,single separable primary repo + dated delivery,https://github.com/nerdsince98/ink-boxes,,2022-12-13,2,nerdsince98/ink-boxes;avirajkhare00/ink-boxes-ui,,
ink-explorer,INCLUDED,single separable primary repo + dated delivery,https://github.com/blockcoders/ink-substrate-explorer-api,,2022-11-18,2,blockcoders/ink-substrate-explorer-api;blockcoders/ink-substrate-explorer-frontend,,18.00
ink-pallet-benchmarking,INCLUDED,single separable primary repo + dated delivery,https://github.com/Nikhil-Desai-Talentica/substrate-node-template-benchmarking,,2023-07-04,3,Nikhil-Desai-Talentica/substrate-node-template-benchmarking;hyperledger/solang,,
ink-playground,INCLUDED,single separable primary repo + dated delivery,https://github.com/Zeeve-App/ink-playground,5bb6b61e067ea1b9ce17d099d994993e891437c1,2024-06-13,2,Zeeve-App/ink-playground;Zeeve-App/ink,paritytech/ink-playground,
inkscope-fuzzer,INCLUDED,single separable primary repo + dated delivery,https://github.com/inkscopexyz/inkscope-fuzzer,,2024-05-17,2,inkscopexyz/inkscope-fuzzer;CoinFabrik/scout,,4.50
ink-smart-contract-wizard,INCLUDED,single separable primary repo + dated delivery,https://github.com/avirajkhare00/ink-wizard,,2023-01-16,2,avirajkhare00/ink-wizard;avirajkhare00/homebrew-ink-wizard;Supercolony-net/openbrush-contracts,,2.00
Intersetellar-network-WP2,INCLUDED,single separable primary repo + dated delivery,https://github.com/Interstellar-Network/lib_circuits,,2023-09-19,1,Interstellar-Network/lib_circuits,,
Interstellar-Network,INCLUDED,single separable primary repo + dated delivery,https://github.com/Interstellar-Network/api_garble,,2023-02-17,5,Interstellar-Network/api_garble;Interstellar-Network/api_circuits;Interstellar-Network/lib_garble;Interstellar-Network/lib_circuits;Interstellar-Network/Interstellar-Book;Interstellar-Network/wallet-app,,55.00
Interstellar-Network-WP2,INCLUDED,single separable primary repo + dated delivery,https://github.com/Interstellar-Network/lib-garble-rs,,2023-10-05,1,Interstellar-Network/lib-garble-rs,,55.00
InvArch,INCLUDED,single separable primary repo + dated delivery,https://github.com/InvArch/InvArch-Pallet-Library,,2022-07-20,2,InvArch/InvArch-Pallet-Library;InvArch/InvArch-Frames;InvArch/INV4-Git;InvArch/InvArch-Node;InvArch/InvArch-node,,
invoice,INCLUDED,single separable primary repo + dated delivery,https://github.com/gertt/Invoice,,2023-01-20,3,gertt/Invoice,,
ipfs_utilities,INCLUDED,single separable primary repo + dated delivery,https://github.com/TDSoftware/substrate-ipfs,,2023-04-21,2,TDSoftware/substrate-ipfs;TDSoftware/substrate-ipfs-ui;TDSoftware/substrate-ipfs-example-ui,,4.00
iris,INCLUDED,single separable primary repo + dated delivery,https://github.com/iridium-labs/iris-docs,,2022-04-05,2,iridium-labs/iris-docs;iridium-labs/ui;iridium-labs/contracts,,
iris_followup,INCLUDED,single separable primary repo + dated delivery,https://github.com/ideal-lab5/iris,,2022-12-19,2,ideal-lab5/iris;ideal-lab5/contracts;ideal-lab5/ui;driemworks/iris;ideal-lab5/whitepaper,,22.50
iris_milestone-delivery,INCLUDED,single separable primary repo + dated delivery,https://github.com/iridium-labs/ui,,2021-12-24,1,iridium-labs/iris-docs;iridium-labs/ui,,
ismp-milestone-delivery,INCLUDED,single separable primary repo + dated delivery,https://github.com/polytope-labs/ismp,,2023-05-31,1,polytope-labs/ismp-rs;polytope-labs/ismp;polytope-labs/substrate-ismp,,6.00
ISO20022,EXCLUDED,no project repo referenced,,,2023-10-20,1,,,
iso20022-ecosystem-research-and-technical-strategy,EXCLUDED,no project repo referenced,,,2024-09-04,1,,,
ISO8583,INCLUDED,single separable primary repo + dated delivery,https://github.com/adit313/ISO8583-Blockchain-Integration-Plan,,2022-10-02,1,adit313/ISO8583-Blockchain-Integration-Plan,,4.00
iso_8583_PoC,INCLUDED,single separable primary repo + dated delivery,https://github.com/subclone/payment-processor,,2024-03-22,2,subclone/payment-processor;subclone/iso8583-chain,,4.00
Iunokit,INCLUDED,single separable primary repo + dated delivery,https://github.com/Luno-lab/LunoKit,,2025-11-12,1,Luno-lab/LunoKit,,6.00
java-client,INCLUDED,single separable primary repo + dated delivery,https://github.com/emeraldpay/polkaj,,2020-05-08,1,emeraldpay/polkaj,w3f/Open-Grants-Program,60.00
java_client_mileston,INCLUDED,single separable primary repo + dated delivery,https://github.com/emeraldpay/polkaj,,2020-08-17,2,emeraldpay/polkaj,w3f/Open-Grants-Program,60.00
JuniDb,EXCLUDED,no project repo referenced,,,2022-04-06,1,,,10.00
keysafe_network,INCLUDED,single separable primary repo + dated delivery,https://github.com/keysafe-protocol/keysafe-app,,2022-11-26,1,keysafe-protocol/keysafe-app;keysafe-protocol/documents;keysafe-protocol/keysafe-sgx;keysafe-protocol/contracts;keysafe-protocol/keysafe-front,w3f/General-Grants-Program,24.00
Knowledge-Oriented-Framework,INCLUDED,single separable primary repo + dated delivery,https://github.com/mobr-ai/POnto,,2023-08-01,3,mobr-ai/POnto,,0.85
Kodadot_assethub_nft_indexer,INCLUDED,single separable primary repo + dated delivery,https://github.com/kodadot/stick,,2024-02-22,1,kodadot/stick;kodadot/packages;vikiival/squidtegrity;casey/just,,
kodadot_atomic_swap_indexer,INCLUDED,single separable primary repo + dated delivery,https://github.com/kodadot/stick,,2024-07-24,1,kodadot/stick;vikiival/kodaquery;vikiival/squidtegrity;casey/just,,
konomi,INCLUDED,single separable primary repo + dated delivery,https://github.com/konomi-network/cumulus,,2021-06-18,1,konomi-network/cumulus;konomi-network/lending-demo,w3f/General-Grants-Program;w3f/Open-Grants-Program,3.00
KSM-embeddable-tip-or-donate-button,INCLUDED,single separable primary repo + dated delivery,https://github.com/Shard-Labs/kusama-tips-widget,,2021-01-07,1,Shard-Labs/kusama-tips-widget,w3f/General-Grants-Program;w3f/Open-Grants-Program,
kuma-wallet,INCLUDED,single separable primary repo + dated delivery,https://github.com/blockcoders/kuma-wallet,,2023-08-11,4,blockcoders/kuma-wallet;kumawallet/extension,,
kylin-network,INCLUDED,single separable primary repo + dated delivery,https://github.com/Kylin-Network/kylin-node,,2021-02-10,1,Kylin-Network/kylin-node;Kylin-Network/documents;Kylin-Network/kylin-ocw-module;Kylin-Network/sample-data-fetcher;Kylin-Network/kylin-contracts;Kylin-Network/kylin-market-frontend,w3f/General-Grants-Program;w3f/Open-Grants-Program,6.00
KZero,INCLUDED,single separable primary repo + dated delivery,https://github.com/kzero-xyz/kzero,,2025-10-06,4,kzero-xyz/kzero-circuit;kzero-xyz/kzero-grant-docs;kzero-xyz/kzero-service;kzero-xyz/kzero;kzero-xyz/kzero-salt-enclave-service;kzero-xyz/kzero-wallet,,
lastic,INCLUDED,single separable primary repo + dated delivery,https://github.com/LasticXYZ/squid-sdk,,2024-05-03,2,LasticXYZ/squid-sdk;LasticXYZ/subsquid;LasticXYZ/LasticUI,,
lastic-price-simulator-milestione,INCLUDED,single separable primary repo + dated delivery,https://github.com/LasticXYZ/price-simulation,,2024-01-02,1,LasticXYZ/price-simulation;LasticXYZ/LasticOrg,,
LedgerAssetsApp_G6_1,INCLUDED,single separable primary repo + dated delivery,https://github.com/Zondax/ledger-statemint,,2022-08-18,1,Zondax/ledger-statemint;Zondax/ledger-statemine;Zondax/ledger-substrate-js;zondax/ledger-statemine;zondax/ledger-statemint;zondax/ledger-substrate-rs,,
ledgerUpgrade,INCLUDED,single separable primary repo + dated delivery,https://github.com/Zondax/ledger-polkadot,,2025-05-28,1,Zondax/ledger-polkadot;Zondax/ledger-substrate-js,,
liberland,INCLUDED,single separable primary repo + dated delivery,https://github.com/liberland/liberland_substrate,,2023-06-05,2,liberland/liberland_substrate;DorianSternVukotic/liberland-middleware-api;liberland/liberlandhub.io,,15.00
Libra,INCLUDED,single separable primary repo + dated delivery,https://github.com/atscaletech/libra,,2022-11-21,3,atscaletech/libra;atscaletech/libra-js;atscaletech/libra-docs,,
LightSpell,INCLUDED,single separable primary repo + dated delivery,https://github.com/paraspell/xcm-api,99fc787bc505dfdb82afe23f252498b30dc8d16d,2023-08-10,1,paraspell/xcm-api;paraspell/docs,,5.00
LiisaPortfolioTracker,INCLUDED,single separable primary repo + dated delivery,https://github.com/LiisaNFT/PolkadotNFTPortfolioTracker,,2024-05-22,2,LiisaNFT/PolkadotNFTPortfolioTracker,,11.25
lip_payments,INCLUDED,single separable primary repo + dated delivery,https://github.com/virto-network/virto-node,73c2af347d320b5abd9e377867106d16314b1472,2022-03-02,2,virto-network/virto-node;virto-network/website;virto-network/open-runtime-module-library;virto-network/valor,open-web3-stack/open-runtime-module-library,
load_balanced_endpoints_operations,INCLUDED,single separable primary repo + dated delivery,https://github.com/geometry-labs/substrate-meta,,2022-05-31,3,geometry-labs/substrate-meta;geometry-labs/websocket-logger;CachetHQ/Cachet;upptime/upptime;upptime/uptime-monitor;geometry-labs/terraform-polkadot-aws-node,w3f/General-Grants-Program;polkadot-js/apps,
logion_wallet,INCLUDED,single separable primary repo + dated delivery,https://github.com/logion-network/logion-wallet,,2022-06-13,4,logion-network/logion-test;logion-network/logion-node;logion-network/logion-backend-ts;logion-network/logion-wallet;logion-network/logion-directory;logion-network/logion-pg-backup-manager,,20.00
lunie-governance_milestones-1,INCLUDED,single separable primary repo + dated delivery,https://github.com/luniehq/lunie,,2020-09-23,1,luniehq/lunie,w3f/Open-Grants-Program,
lunokit,INCLUDED,single separable primary repo + dated delivery,https://github.com/Luno-lab/LunoKit,,2025-10-09,1,Luno-lab/LunoKit;Luno-lab/lkdoc,,6.00
MangoBOX,INCLUDED,single separable primary repo + dated delivery,https://github.com/Mangoboxlabs/Mangoboxink,,2022-10-27,1,Mangoboxlabs/Mangoboxink,,8.00
MangoSale,INCLUDED,single separable primary repo + dated delivery,https://github.com/Mangoboxlabs/MangoSale,,2023-08-08,2,Mangoboxlabs/MangoSale;Mangoboxlabs/MangoSaleV2,,8.00
manta_network,INCLUDED,single separable primary repo + dated delivery,https://github.com/Manta-Network/pallet-manta-dap,,2021-02-06,1,Manta-Network/pallet-manta-dap;Manta-Network/manta-node;Manta-Network/manta-front-end,w3f/General-Grants-Program;w3f/Open-Grants-Program,
massbit_route,INCLUDED,single separable primary repo + dated delivery,https://github.com/massbitprotocol/massbitroute,,2022-09-28,2,massbitprotocol/massbitchain;massbitprotocol/w3f-testing-guide;massbitprotocol/massbitroute;massbitprotocol/massbitroute_gwman;massbitprotocol/massbitroute_fisherman;massbitprotocol/massbitroute_node,,12.00
material,EXCLUDED,no project repo referenced,,,2024-04-08,1,,,
melodot,INCLUDED,single separable primary repo + dated delivery,https://github.com/ZeroDAO/melodot,,2023-12-23,4,ZeroDAO/melodot,,6.75
MeProtocol,INCLUDED,single separable primary repo + dated delivery,https://github.com/Me-Protocol/rusty-protocol-v0.1,,2024-07-12,2,Me-Protocol/rusty-protocol-v0.1;Me-Protocol/Rusty-Protocol-Backend-Portal,,13000.00
merkle_tree,INCLUDED,single separable primary repo + dated delivery,https://github.com/frisitano/merkle-tree-db,ebd3ee8492d2db61cccdb5a8f82740e93eef5c83,2023-03-05,1,frisitano/merkle-tree-db,,
migrationEase,INCLUDED,single separable primary repo + dated delivery,https://github.com/Zondax/polkadot-web-migration,,2025-07-22,2,Zondax/polkadot-web-migration,,
mobile_dapp_connection,INCLUDED,single separable primary repo + dated delivery,https://github.com/tesseract-one/Tesseract.rs,,2023-04-19,3,tesseract-one/Tesseract.rs;tesseract-one/Tesseract.android;tesseract-one/Tesseract.swift;tesseract-one/dev-wallet;tesseract-one/polkachat.rs,,1.66
mobile-game-framework-millestone,INCLUDED,single separable primary repo + dated delivery,https://github.com/creator-rs/creator,ece9d1f84816ef7420533fe35167cb1a5baca6c5,2021-07-15,3,creator-rs/creator;bevyengine/bevy;RustAudio/cpal;creator-rs/creator-templates;creator-rs/fastlane-plugin,w3f/Open-Grants-Program,
multisignature_management_tool,INCLUDED,single separable primary repo + dated delivery,https://github.com/itering/subscan-multisig-ui,30f83b4a4d9f0f060c46db103cee3125e8f0e487,2021-08-03,2,itering/subscan-multisig-ui;itering/subscan-multisig-backend;itering/subscan-multisig-react,w3f/Open-Grants-Program,
Multix-a-simple-UI-for-complex-multisigs,INCLUDED,single separable primary repo + dated delivery,https://github.com/ChainSafe/Multix,,2023-02-06,1,ChainSafe/Multix,,1.50
myriad_social,INCLUDED,single separable primary repo + dated delivery,https://github.com/myriadsocial/myriad-node-parachain,,2024-11-20,3,myriadsocial/myriad-node-parachain;myriadsocial/myriad-infrastructure;myriadsocial/myriad-web;myriadsocial/myriad-scripts;myriadsocial/myriad-api;myriadsocial/myriad-importer-extension,,9.00
native-bitcoin-vaults,INCLUDED,single separable primary repo + dated delivery,https://github.com/hashed-io/native-bitcoin-vaults-UI,,2022-10-18,2,bitcoindevkit/bdk;hashed-io/hashed-substrate;hashed-io/bdk-services;hashed-io/native-bitcoin-vaults-UI;hashed-io/nbv-ur-codec;hashed-io/hashed-network-portal-ui,,6.00
NeuroZK,INCLUDED,single separable primary repo + dated delivery,https://github.com/Cyborg-Network/cyborg-parachain,,2025-06-07,3,Cyborg-Network/cyborg-parachain;Cyborg-Network/cyborg-connect;Cyborg-Network/Cyborg-worker-node;Cyborg-Network/Cyborg-miner,open-web3-stack/open-runtime-module-library,12.00
new_bls12_hash_function,INCLUDED,single separable primary repo + dated delivery,https://github.com/dishport/Indifferentiable-hashing-to-ordinary-elliptic-curves-of-j-0-with-the-cost-of-one-exponentiation,,2022-08-31,2,dishport/Indifferentiable-hashing-to-ordinary-elliptic-curves-of-j-0-with-the-cost-of-one-exponentiation;zhenfeizhang/indifferentiable-hashing,,6.00
NewOmega,INCLUDED,single separable primary repo + dated delivery,https://github.com/WiktorStarczewski/newomega.polkadot,c0c5ca0,2023-01-18,4,WiktorStarczewski/newomega.polkadot;WiktorStarczewski/newomega.trinity;WiktorStarczewski/newomega-polkadot-hybrid,w3f/General-Grants-Program;w3f/Open-Grants-Program,4.00
nftaa,INCLUDED,single separable primary repo + dated delivery,https://github.com/decenzio/nftaa,,2025-09-02,3,decenzio/polkadot-nftaa-proposal;decenzio/nftaa;decenzio/pallet-nftaa;decenzio/stick;decenzio/nft-gallery;kodadot/nft-gallery,paritytech/zombienet,12.00
nft_collectibles_wallet,INCLUDED,single separable primary repo + dated delivery,https://github.com/GamePowerNetwork/gamepower-module-library,,2021-06-08,1,GamePowerNetwork/gamepower-module-library;GamePowerNetwork/gamepower-wallet-template,w3f/General-Grants-Program;w3f/Open-Grants-Program,
nft_explorer,INCLUDED,single separable primary repo + dated delivery,https://github.com/uni-arts-chain/evm-nft-tracker,,2021-11-18,2,uni-arts-chain/evm-nft-tracker;uni-arts-chain/substrate-nft-tracker;uni-arts-chain/uniscan,,5.00
nftstore-network,INCLUDED,single separable primary repo + dated delivery,https://github.com/NFTT-studio/NFTMart-Node,,2021-07-09,1,NFTT-studio/NFTMart-Node;NFTT-studio/nftmart-fontend;NFTT-studio/nftmart,w3f/General-Grants-Program;w3f/Open-Grants-Program;open-web3-stack/open-runtime-module-library,4.00
Nolik,INCLUDED,single separable primary repo + dated delivery,https://github.com/chainify/nolik,,2022-09-13,2,chainify/pallet-nolik;chainify/substrate-nolik-dev;chainify/nolik;chainify/nolik-cli,,2.00
nulink,INCLUDED,single separable primary repo + dated delivery,https://github.com/NuLink-network/nulink-chain,,2022-03-25,2,NuLink-network/nulink-chain,w3f/General-Grants-Program,12.00
ocelloids_monitoring_sdk,INCLUDED,single separable primary repo + dated delivery,https://github.com/sodazone/ocelloids,,2023-07-24,1,sodazone/ocelloids,,4.00
ocelloids_xcm_monitoring_service,INCLUDED,single separable primary repo + dated delivery,https://github.com/sodazone/xcm-monitoring,,2023-11-20,1,sodazone/xcm-monitoring,,4.00
offline_elction_tool,INCLUDED,single separable primary repo + dated delivery,https://github.com/antiers-solutions/polkadot-staking-miner,,2026-01-29,1,antiers-solutions/polkadot-staking-miner,,
offline_election_tool,INCLUDED,single separable primary repo + dated delivery,https://github.com/antiers-solutions/polkadot-staking-miner,,2026-02-03,1,antiers-solutions/polkadot-staking-miner,,
Omniverse_DLT,INCLUDED,single separable primary repo + dated delivery,https://github.com/Omniverse-Web3-Labs/Omniverse-DLT-Introduction,,2023-06-18,2,Omniverse-Web3-Labs/omniverse-swap;Omniverse-Web3-Labs/Omniverse-DLT-Introduction;Omniverse-Web3-Labs/omniverse-evm;Omniverse-Web3-Labs/omniverse-swap-tools;Omniverse-Web3-Labs/omniverse-flow;Omniverse-Web3-Labs/omniverse-ink,paritytech/substrate-contracts-node,12.00
On_chain_cash_exchange,INCLUDED,single separable primary repo + dated delivery,https://github.com/bsn-si/ocex-smartcontract,,2022-07-06,2,bsn-si/ocex-smartcontract;bsn-si/ocex-cli;bsn-si/ocex-activation,,8.00
openbrush,INCLUDED,single separable primary repo + dated delivery,https://github.com/727-Ventures/openbrush-contracts,,2023-01-20,3,727-Ventures/openbrush-contracts;727-Ventures/pallet-assets-chain-extension;727-Ventures/openbrush-website;Supercolony-net/openbrush-contracts;OpenZeppelin/openzeppelin-contracts,paritytech/chainextension-registry;paritytech/ink;paritytech/substrate-contracts-node;w3f/PSPs,
openbrush_follow_up,INCLUDED,single separable primary repo + dated delivery,https://github.com/Supercolony-net/openbrush-contracts,,2022-07-26,3,Supercolony-net/openbrush-contracts,paritytech/ink;paritytech/cargo-contract;paritytech/parity-scale-codec;w3f/PSPs,
openPayroll,INCLUDED,single separable primary repo + dated delivery,https://github.com/polkadrys/openPayroll,,2023-07-26,1,polkadrys/open-payroll-web;polkadrys/openPayroll,,8.00
openrollup-mvp-phase,INCLUDED,single separable primary repo + dated delivery,https://github.com/open-rollup/pallet-open-rollup,,2023-06-14,1,open-rollup/pallet-open-rollup;open-rollup/blog;0xPolygonMiden/miden-vm,,11.25
OpenSquare_offchain_voting,INCLUDED,single separable primary repo + dated delivery,https://github.com/opensquare-network/collaboration,,2021-11-19,1,opensquare-network/collaboration;opensquare-network/docs-off-chain-voting,,
OpenSquare_paid_qa,INCLUDED,single separable primary repo + dated delivery,https://github.com/opensquare-network/paid-qa,,2022-07-12,1,opensquare-network/paid-qa;opensquare-network/ipfs;opensquare-network/qa-spec,,
orochi-network-orosign-part1,INCLUDED,single separable primary repo + dated delivery,https://github.com/orochi-network/orochi-networkhub.io,,2023-10-17,1,orochi-network/orochi-networkhub.io,w3f/General-Grants-Program,
p2p_state_channels,INCLUDED,single separable primary repo + dated delivery,https://github.com/peer3to/state-channels-plus,,2024-12-02,2,peer3to/state-channels-plus,,
pacificstore,INCLUDED,single separable primary repo + dated delivery,https://github.com/vlbos/pacificstore-node,,2021-04-28,1,vlbos/pacificstore-node;ProjectOpenSea/wyvern-js,w3f/Open-Grants-Program,
pallet_drand_client,INCLUDED,single separable primary repo + dated delivery,https://github.com/random-meat/drand-substrate-client,,2023-01-16,1,random-meat/drand-substrate-client,,2.00
pallet_supersig_decentration,INCLUDED,single separable primary repo + dated delivery,https://github.com/kabocha-network/pallet_supersig,,2023-02-22,3,decentration/substrate-supersig-template;kabocha-network/pallet_supersig;decentration/apps,,
pallet-verifier,INCLUDED,single separable primary repo + dated delivery,https://github.com/davidsemakula/pallet-verifier,,2024-12-09,1,davidsemakula/pallet-verifier;rust-lang/rust-clippy;rust-lang/miri,,
PANIC,INCLUDED,single separable primary repo + dated delivery,https://github.com/SimplyVC/panic,,2022-08-22,1,SimplyVC/panic,,3.00
parachain_staking,INCLUDED,single separable primary repo + dated delivery,https://github.com/PureStake/moonbeam,,2021-12-05,2,PureStake/moonbeam;PureStake/apps,w3f/General-Grants-Program;w3f/Open-Grants-Program;polkadot-js/apps,
parallel,INCLUDED,single separable primary repo + dated delivery,https://github.com/parallel-finance/parallel,,2021-10-21,2,parallel-finance/parallel;parallel-finance/nominate-client,w3f/General-Grants-Program;w3f/Open-Grants-Program,16.00
paraport,INCLUDED,single separable primary repo + dated delivery,https://github.com/paraportxyz/app,,2025-10-20,1,paraportxyz/app;paraportxyz/docs;paraportxyz/sdk,,6.00
ParaSpell,INCLUDED,single separable primary repo + dated delivery,https://github.com/dudo50/ParaSpell,2fb7b9c2a4bf6bf9602abced3f5662be96f2bc65,2022-09-30,1,dudo50/ParaSpell;paraspell/sdk;ParaSpell/sdk,,2.00
Paraspell-followup,INCLUDED,single separable primary repo + dated delivery,https://github.com/paraspell/sdk,aea02541f7168d7a7f566b7311fcf70f6a977115,2023-01-29,3,paraspell/sdk;paraspell/ui;paraspell/sub-scaffold;paraspell/xcm-sdk;paraspell/ui-v1;paraspell/ui-v2,,2.00
ParaSpell-followup2,INCLUDED,single separable primary repo + dated delivery,https://github.com/paraspell/sdk,,2023-04-18,1,paraspell/sdk;paraspell/ui-v2;paraspell/xcm-sdk;paraspell/ui;paraspell/docs;kodadot/sub-scaffold,,2.00
patron,INCLUDED,single separable primary repo + dated delivery,https://github.com/Brushfam/patron-backend,,2023-07-06,1,Brushfam/patron-backend;Brushfam/patron-frontend,paritytech/substrate-contracts-node,
perun_app_channels,INCLUDED,single separable primary repo + dated delivery,https://github.com/perun-network/perun-polkadot-pallet,54c55acabfe2f5b57a79b4330726cf572453c0f0,2022-09-20,3,perun-network/perun-polkadot-pallet;perun-network/perun-polkadot-backend;perun-network/perun-polkadot-node;perun-network/perun-polkadot-appdemo;ajuna-network/Ajuna;hyperledger-labs/go-perun,,9.06
perun_channels,INCLUDED,single separable primary repo + dated delivery,https://github.com/perun-network/perun-polkadot-pallet,,2021-07-20,2,perun-network/perun-polkadot-pallet,w3f/General-Grants-Program,9.06
perun_integration,INCLUDED,single separable primary repo + dated delivery,https://github.com/perun-network/perun-polkadot-pallet,,2021-11-12,5,perun-network/perun-polkadot-pallet;perun-network/go-perun;hyperledger-labs/go-perun;perun-network/perun-polkadot-backend;perun-network/perun-polkadot-demo,,9.06
php-rpc-lib,INCLUDED,single separable primary repo + dated delivery,https://github.com/gmajor-encrypt/php-scale-codec,,2022-04-29,2,gmajor-encrypt/php-scale-codec;gmajor-encrypt/sr25519-bindings;gmajor-encrypt/php-substrate-api,,
php-rpc-lib-follow-up,INCLUDED,single separable primary repo + dated delivery,https://github.com/gmajor-encrypt/php-substrate-api,,2023-02-21,1,gmajor-encrypt/php-substrate-api;gmajor-encrypt/php-scale-codec,,
php-scale-lib,INCLUDED,single separable primary repo + dated delivery,https://github.com/gmajor-encrypt/php-scale-codec,,2021-10-13,2,gmajor-encrypt/php-scale-codec,w3f/Open-Grants-Program,
php-substrate-api,INCLUDED,single separable primary repo + dated delivery,https://github.com/neha0921/substrate-interface-package,,2021-12-14,1,neha0921/substrate-interface-package;neha0921/package-test,,
Plus,INCLUDED,single separable primary repo + dated delivery,https://github.com/Nick-1979/polkadot-Js-Plus-extension,,2022-03-23,2,Nick-1979/polkadot-Js-Plus-extension,,9.00
Plutonication,INCLUDED,single separable primary repo + dated delivery,https://github.com/RostislavLitovkin/Plutonication,,2024-08-21,4,RostislavLitovkin/PlutonicationServer;RostislavLitovkin/Plutonication;cisar2218/Plutonication,,1.66
pocs,INCLUDED,single separable primary repo + dated delivery,https://github.com/auguth/pocs,,2025-04-08,3,auguth/pocs;auguth/ink-contracts-for-testing,,
polkadart,INCLUDED,single separable primary repo + dated delivery,https://github.com/rankanizer/polkadart,d112181c8769a8e74d3eff57a46940a3dbf7370c,2024-03-08,4,rankanizer/polkadart;leonardocustodio/polkadart,,60.00
Polkadart_extension,INCLUDED,single separable primary repo + dated delivery,https://github.com/leonardocustodio/polkadart,,2025-03-07,1,leonardocustodio/polkadart,,6.00
polkadart-followup,INCLUDED,single separable primary repo + dated delivery,https://github.com/leonardocustodio/polkadart,,2024-10-31,1,leonardocustodio/polkadart;polkadart/docs,,6.00
polkadex,INCLUDED,single separable primary repo + dated delivery,https://github.com/Polkadex-Substrate/Polkadex,,2020-10-02,1,Polkadex-Substrate/Polkadex,w3f/Open-Grants-Program,
polkadot_analytics_platform,INCLUDED,single separable primary repo + dated delivery,https://github.com/mobr-ai/PolkadotAnalytics,,2023-09-04,1,mobr-ai/PolkadotAnalytics;mobr-ai/POnto,,0.85
polkadot-contract-wizard,INCLUDED,single separable primary repo + dated delivery,https://github.com/protofire/polkadot-contract-wizard,,2023-05-05,2,protofire/polkadot-contract-wizard;protofire/ink-compiler-be,,7.50
polkadot_dart,INCLUDED,single separable primary repo + dated delivery,https://github.com/Pocket4D/Polkadot-Dart,,2020-12-04,1,Pocket4D/Polkadot-Dart,w3f/Open-Grants-Program,60.00
polkadot-desktop-app,EXCLUDED,un-separable: only shared/3rd-party monorepos,,,2021-08-20,3,,w3f/General-Grants-Program;w3f/Open-Grants-Program;polkadot-js/apps;w3f/polkadot-wiki;polkadot-js/ui,3.75
polkadotjs-ecdsa,EXCLUDED,un-separable: only shared/3rd-party monorepos,,,2020-05-04,1,,w3f/Open-Grants-Program;polkadot-js/common;polkadot-js/ui;polkadot-js/api,
polkadotjs-ecdsa-hardware,INCLUDED,single separable primary repo + dated delivery,https://github.com/gluneau/polkadotjs-ecdsa-hardware,,2022-11-21,1,AstarNetwork/astar-frame;gluneau/polkadotjs-ecdsa-hardware,polkadot-js/apps,
polkadot-js-extension-per-account-auth,EXCLUDED,un-separable: only shared/3rd-party monorepos,,,2023-01-18,1,,polkadot-js/extension,1.00
polkadotjs_no_code,INCLUDED,single separable primary repo + dated delivery,https://github.com/ezcodeco/Bubble-Plugin-Polkadot.js,,2022-02-10,2,ezcodeco/Bubble-Plugin-Polkadot.js,,4.00
polkadot-js-plus-nomination-pools,INCLUDED,single separable primary repo + dated delivery,https://github.com/Nick-1979/polkadot-Js-Plus-extension,,2022-06-28,1,Nick-1979/polkadot-Js-Plus-extension,,9.00
polkadot-js-plus-social-recovery-wallet,INCLUDED,single separable primary repo + dated delivery,https://github.com/Nick-1979/polkadot-Js-Plus-extension,,2022-08-11,1,Nick-1979/polkadot-Js-Plus-extension,,9.00
Polkadot-Protocol-Conformance-Tests,INCLUDED,single separable primary repo + dated delivery,https://github.com/LimeChain/polkadot-conformance,,2023-12-01,1,LimeChain/polkadot-conformance,,
polkadot-runtime-releaser,INCLUDED,single separable primary repo + dated delivery,https://github.com/hack-ink/polkadot-runtime-releaser,,2025-01-17,1,hack-ink/polkadot-runtime-releaser;hack-ink/polkadot-runtime-releaser-workshop,,
