project_id,repo_url,application_url,n_delivery_files,planned_fte,planned_duration_months,planned_cost_usd,planned_pm,team_size,sum_milestone_duration_months,n_milestone_fte_mentions,documented_pm_explicit,effort_phrases_raw,status,note
ink-pallet-benchmarking,https://github.com/Nikhil-Desai-Talentica/substrate-node-template-benchmarking,github.com/w3f/Grants-Program/blob/master/applications/ink-pallet-benchmarking.md,3,1,,10000,,4,2.76,2,,3 day; 2 day; 3 day; 2 day; 3 day; 2 day; 1 week; 3 day; 2 day; 1 Week; 6 week; 3 week,OK,
ink-playground,https://github.com/Zeeve-App/ink-playground,github.com/w3f/General-Grants-Program/blob/master/grants/speculative/ink_playground.md,2,,,,,3,,0,,3 week; 3 week; 1 week; 2 week,OK,
inkscope-fuzzer,https://github.com/inkscopexyz/inkscope-fuzzer,github.com/w3f/Grants-Program/blob/master/applications/inkscope-fuzzer.md,2,1.5,3,30000,4.50,2,6.0,2,,3 month; 1 month; 2 month,OK,
ink-smart-contract-wizard,https://github.com/avirajkhare00/ink-wizard,github.com/w3f/Grants-Program/blob/master/applications/polkasearch.md,2,1,2,100000,2.00,1,4.0,2,,1 month; 2 month; 1 month; 1 month,OK,
Intersetellar-network-WP2,https://github.com/Interstellar-Network/lib_circuits,,1,,,,,,,0,,,OK,
Interstellar-Network,https://github.com/Interstellar-Network/api_garble,github.com/w3f/Grants-Program/blob/master/applications/Interstellar-Network.md,5,11,5,47000,55.00,8,10.38,5,,5 month; 1 month; 1 month; 1 month; 1 month; 6 week,OK,
Interstellar-Network-WP2,https://github.com/Interstellar-Network/lib-garble-rs,github.com/w3f/Grants-Program/blob/master/applications/Interstellar-Network.md,1,11,5,47000,55.00,8,10.38,5,,5 month; 1 month; 1 month; 1 month; 1 month; 6 week,OK,
InvArch,https://github.com/InvArch/InvArch-Pallet-Library,github.com/w3f/Grants-Program/blob/master/applications/InvArch.md,2,2.5,,25000,,7,3.68,2,,4 week; 12 week,OK,
invoice,https://github.com/gertt/Invoice,github.com/w3f/Grants-Program/blob/master/applications/decentralized_invoice.md,3,,3,,,2,3.0,0,,6 month; 3 month; 1 month; 1 month; 1 month,OK,
ipfs_utilities,https://github.com/TDSoftware/substrate-ipfs,github.com/w3f/Grants-Program/blob/master/applications/ipfs_utilities.md,2,2,2,66000,4.00,4,4.0,2,,2 Month; 1 Month; 1 Month,OK,
iris,https://github.com/iridium-labs/iris-docs,github.com/w3f/Grants-Program/blob/master/applications/iris.md,2,1.5,,22500,,1,6.44,3,,14 week; 4 week; 0.5 week; 2 week; 0.5 week; 1.5 week; 6 week; 3 week; 1.5 week; 4 week; 1.5 week; 0.5 week,OK,
iris_followup,https://github.com/ideal-lab5/iris,github.com/w3f/Grants-Program/blob/master/applications/iris_followup.md,2,2.5,9,47000,22.50,4,18.5,4,,9 month; 1 month; 5.5 month; 2 month; 1 month,OK,
iris_milestone-delivery,https://github.com/iridium-labs/ui,github.com/w3f/Grants-Program/blob/master/applications/iris.md,1,1.5,,22500,,1,6.44,3,,14 week; 4 week; 0.5 week; 2 week; 0.5 week; 1.5 week; 6 week; 3 week; 1.5 week; 4 week; 1.5 week; 0.5 week,OK,
ismp-milestone-delivery,https://github.com/polytope-labs/ismp,github.com/w3f/Grants-Program/blob/master/applications/polkadot_agent_kit.md,1,2,3,30000,6.00,6,6.0,3,,3 month; 1 month; 1 month; 1 month,OK,
ISO20022,,,1,,,,,,,,,,NO_REPO,
iso20022-ecosystem-research-and-technical-strategy,,,1,,,,,,,,,,NO_REPO,
ISO8583,https://github.com/adit313/ISO8583-Blockchain-Integration-Plan,github.com/w3f/Grants-Program/blob/master/applications/ISO-8583-implementation.md,1,1,4,28000,4.00,1,8.0,2,,4 month; 2 month; 2 month,OK,
iso_8583_PoC,https://github.com/subclone/payment-processor,github.com/w3f/Grants-Program/blob/master/applications/ISO-8583-implementation.md,2,1,4,28000,4.00,1,8.0,2,,4 month; 2 month; 2 month,OK,
Iunokit,https://github.com/Luno-lab/LunoKit,github.com/w3f/Grants-Program/blob/master/applications/LunoKit.md,1,2,3,30000,6.00,2,6.0,2,,3 month; 1.5 month; 1.5 month,OK,
java-client,https://github.com/emeraldpay/polkaj,github.com/w3f/Grants-Program/blob/master/applications/Polkadot-Dart.md,1,5.3,5,1,26.50,2,10.0,4,,5 month; 1 month; 1 month; 1.5 month; 1.5 month,OK,
java_client_mileston,https://github.com/emeraldpay/polkaj,github.com/w3f/Grants-Program/blob/master/applications/Polkadot-Dart.md,2,5.3,5,1,26.50,2,10.0,4,,5 month; 1 month; 1 month; 1.5 month; 1.5 month,OK,
JuniDb,,,1,,,,,,,,,,NO_REPO,
keysafe_network,https://github.com/keysafe-protocol/keysafe-app,github.com/w3f/Grants-Program/blob/master/applications/keysafe_network.md,1,3,8,27000,24.00,2,16.0,2,,8 month; 6 month; 2 month,OK,
Knowledge-Oriented-Framework,https://github.com/mobr-ai/POnto,github.com/w3f/Grants-Program/blob/master/applications/polkadot_analytics_platform.md,3,0.85,1,10000,0.85,,2.0,1,,1 month; 1 month; 10 day; 1 month; 1 month,OK,
Kodadot_assethub_nft_indexer,https://github.com/kodadot/stick,github.com/w3f/Grants-Program/blob/master/applications/kodadot_assethub_nft_m2.md,1,,,,,2,6.0,2,,3 month; 3 month,OK,
kodadot_atomic_swap_indexer,https://github.com/kodadot/stick,github.com/w3f/Grants-Program/blob/master/applications/kodadot_assethub_nft_m2.md,1,,,,,2,6.0,2,,3 month; 3 month,OK,
konomi,https://github.com/konomi-network/cumulus,github.com/w3f/Grants-Program/blob/master/applications/konomi.md,1,2,1.5,1,3.00,2,2.5,1,,1.5 month; 1 month,OK,
KSM-embeddable-tip-or-donate-button,https://github.com/Shard-Labs/kusama-tips-widget,github.com/w3f/Grants-Program/blob/master/docs/RFPs/ksm-tipping-button.md,1,,,,,,,0,,,OK,
kuma-wallet,https://github.com/blockcoders/kuma-wallet,,4,,,,,,,0,,,OK,
kylin-network,https://github.com/Kylin-Network/kylin-node,github.com/w3f/Grants-Program/blob/master/applications/kylin_network.md,1,3,2,1,6.00,8,4.0,0,,2 month; 2 month,OK,
KZero,https://github.com/kzero-xyz/kzero,github.com/w3f/Grants-Program/blob/master/applications/KZero.md,4,,2,50000,,2,5.0,0,,2 Month; 1 month; 1 month; 0.5 month; 0.5 month,OK,
lastic,https://github.com/LasticXYZ/squid-sdk,github.com/w3f/Grants-Program/blob/master/applications/Lastic.md,2,,,10000,,2,2.0,2,,1 month; 1 month; 4 month; 6 month,OK,
lastic-price-simulator-milestione,https://github.com/LasticXYZ/price-simulation,github.com/w3f/Grants-Program/blob/master/applications/lastic-price-simulation-2.md,1,1.5,,6000,,3,,1,,3 week; 3 week,OK,
LedgerAssetsApp_G6_1,https://github.com/Zondax/ledger-statemint,,1,,,,,,,0,,,OK,
ledgerUpgrade,https://github.com/Zondax/ledger-polkadot,github.com/w3f/Grants-Program/blob/master/applications/ledgerUpgrade.md,1,1.5,,35,,3,,1,,1.5 month; 2 month; 1.5 month; 2 month,OK,
liberland,https://github.com/liberland/liberland_substrate,github.com/w3f/Grants-Program/blob/master/applications/liberland.md,2,3,5,50,15.00,6,10.0,2,,5 month; 2 month; 3 month,OK,
Libra,https://github.com/atscaletech/libra,github.com/w3f/Grants-Program/blob/master/applications/Libra.md,3,1.5,,16000,,2,4.0,3,,72 hour; 4 month; 1 month; 2 month; 1 month,OK,
LightSpell,https://github.com/paraspell/xcm-api,github.com/w3f/Grants-Program/blob/master/applications/LightSpell-proposal.md,1,1,2,10,2.00,3,4.0,1,,2 month; 2 month,OK,
LiisaPortfolioTracker,https://github.com/LiisaNFT/PolkadotNFTPortfolioTracker,github.com/w3f/Grants-Program/blob/master/applications/LiisaPortfolioTracker.md,2,2.25,5,30000,11.25,5,10.0,2,,5 month; 2.5 month; 2.5 month,OK,
lip_payments,https://github.com/virto-network/virto-node,github.com/w3f/Grants-Program/blob/master/applications/lip_payments.md,2,,,,,2,2.3,2,,6 week; 4 week,OK,
load_balanced_endpoints_operations,https://github.com/geometry-labs/substrate-meta,github.com/w3f/General-Grants-Program/blob/master/grants/speculative/load_balanced_endpoints_operations.md,3,,,,,2,,0,,23 Day; 5 Day; 13 Day; 5 Day; 8 Day; 3 Month; 3 month; 5 day; 25 day; 13 day; 16 day; 5 day,OK,
logion_wallet,https://github.com/logion-network/logion-wallet,github.com/w3f/Grants-Program/blob/master/applications/logion_wallet.md,4,2,10,42,20.00,,20.5,4,,10 month; 6 month; 1.5 month; 1.5 month; 1.5 month,OK,
lunie-governance_milestones-1,https://github.com/luniehq/lunie,github.com/w3f/Grants-Program/blob/master/applications/index.md,1,,,,,,,0,,,OK,
lunokit,https://github.com/Luno-lab/LunoKit,github.com/w3f/Grants-Program/blob/master/applications/LunoKit.md,1,2,3,30000,6.00,2,6.0,2,,3 month; 1.5 month; 1.5 month,OK,
MangoBOX,https://github.com/Mangoboxlabs/Mangoboxink,github.com/w3f/Grants-Program/blob/master/applications/MangoBOX-Protocol.md,1,4,2,40000,8.00,5,4.0,2,,2 month; 1 month; 1 month,OK,
MangoSale,https://github.com/Mangoboxlabs/MangoSale,github.com/w3f/Grants-Program/blob/master/applications/MangoSale_Protocol.md,2,4,2,26000,8.00,5,4.0,2,,2 month; 1 month; 1 month,OK,
manta_network,https://github.com/Manta-Network/pallet-manta-dap,github.com/w3f/Grants-Program/blob/master/applications/manta_network.md,1,3,,1,,9,6.21,2,,4 month; 12 week; 8 week; 7 week,OK,
massbit_route,https://github.com/massbitprotocol/massbitroute,github.com/w3f/Grants-Program/blob/master/applications/index.md,2,,,,,,,0,,,OK,
material,,,1,,,,,,,,,,NO_REPO,
melodot,https://github.com/ZeroDAO/melodot,github.com/w3f/Grants-Program/blob/master/applications/Melodot.md,4,1.5,4.5,28000,6.75,3,9.0,4,,4.5 month; 1 month; 1.5 month; 1 month; 1 month; 6 month,OK,
MeProtocol,https://github.com/Me-Protocol/rusty-protocol-v0.1,github.com/w3f/Grants-Program/blob/master/applications/MeProtocol.md,2,2600,5,29600,13000.00,7,10.0,3,,5 month; 1 month; 2 month; 2 month,OK,
merkle_tree,https://github.com/frisitano/merkle-tree-db,github.com/w3f/Grants-Program/blob/master/applications/binary_merkle_tree.md,1,2,,25000,,2,3.5,2,,1.5 month; 2 week; 2 month; 2 month,OK,
migrationEase,https://github.com/Zondax/polkadot-web-migration,github.com/w3f/Grants-Program/blob/master/applications/MigrationEase.md,2,2.7,,87,,4,,3,,12 month; 2 month; 3 month; 1 month; 1.5 month; 1 month; 1.5 month; 1 month; 12 month; 12 month,OK,
mobile_dapp_connection,https://github.com/tesseract-one/Tesseract.rs,github.com/w3f/Grants-Program/blob/master/applications/Plutonication.md,3,0.83,2,25000,1.66,,6.0,4,,1 month; 2 month; 1 month; 1 month; 1 month; 1 month,OK,
mobile-game-framework-millestone,https://github.com/creator-rs/creator,github.com/w3f/Grants-Program/blob/master/applications/mobile-game-framework.md,3,2.0,,2,,,5.52,3,,12 week; 4 week; 4 week; 4 week,OK,
multisignature_management_tool,https://github.com/itering/subscan-multisig-ui,github.com/w3f/Grants-Program/blob/master/applications/multisignature_management_tool.md,2,,,,,2,,0,,25 day; 30 day,OK,
Multix-a-simple-UI-for-complex-multisigs,https://github.com/ChainSafe/Multix,github.com/w3f/Grants-Program/blob/master/applications/Multix-a-simple-UI-for-complex-multisig.md,1,1.5,1,30000,1.50,1,2.0,1,,1 month; 1 month,OK,
myriad_social,https://github.com/myriadsocial/myriad-node-parachain,github.com/w3f/Grants-Program/blob/master/applications/myriad_social.md,3,3,3,30000,9.00,11,6.0,3,,3 month; 1 month; 1 month; 1 month; 12 month,OK,
native-bitcoin-vaults,https://github.com/hashed-io/native-bitcoin-vaults-UI,github.com/w3f/Grants-Program/blob/master/applications/native-bitcoin-vaults.md,2,2,3,43200,6.00,,5.76,2,,3 month; 6 week; 6 week,OK,
NeuroZK,https://github.com/Cyborg-Network/cyborg-parachain,github.com/w3f/Grants-Program/blob/master/applications/NeuroZK.md,3,2,6,30000,12.00,7,12.0,3,,2 month; 6 month; 2 month; 2 month; 2 month; 3 month,OK,
new_bls12_hash_function,https://github.com/dishport/Indifferentiable-hashing-to-ordinary-elliptic-curves-of-j-0-with-the-cost-of-one-exponentiation,github.com/w3f/Grants-Program/blob/master/applications/new_bls12_hash_function.md,2,1,6,15000,6.00,2,12.0,2,,6 month; 3 month; 3 month,OK,
NewOmega,https://github.com/WiktorStarczewski/newomega.polkadot,github.com/w3f/Grants-Program/blob/master/applications/newomega.md,4,2,2,15000,4.00,1,4.0,2,,1 week; 1 month; 1 month; 1 month; 2 month,OK,
nftaa,https://github.com/decenzio/nftaa,github.com/w3f/Grants-Program/blob/master/applications/nftaa.md,3,2,6,30000,12.00,5,12.0,3,,6 month; 2.5 month; 2 month; 1.5 month,OK,
nft_collectibles_wallet,https://github.com/GamePowerNetwork/gamepower-module-library,github.com/w3f/Grants-Program/blob/master/applications/nft_collectibles_wallet.md,1,2.1,,15000,,2,4.14,3,,7 week; 4 week; 4 week; 3 week,OK,
nft_explorer,https://github.com/uni-arts-chain/evm-nft-tracker,github.com/w3f/Grants-Program/blob/master/applications/nft_explorer.md,2,2,2.5,16000,5.00,3,5.0,2,,2.5 month; 1 month; 1.5 month,OK,
nftstore-network,https://github.com/NFTT-studio/NFTMart-Node,github.com/w3f/Grants-Program/blob/master/applications/NFTStore_Network.md,1,2,2,0,4.00,3,4.0,0,,2 month; 2 month,OK,
Nolik,https://github.com/chainify/nolik,github.com/w3f/Grants-Program/blob/master/applications/Nolik.md,2,1,2,9800,2.00,1,4.0,2,,48 hour; 2 month; 1 month; 1 month,OK,
nulink,https://github.com/NuLink-network/nulink-chain,github.com/w3f/Grants-Program/blob/master/applications/NuLink.md,2,2,6,10000,12.00,2,12.0,2,,1 day; 6 month; 4 month; 2 month,OK,
ocelloids_monitoring_sdk,https://github.com/sodazone/ocelloids,github.com/w3f/Grants-Program/blob/master/applications/ocelloids_monitoring_sdk.md,1,2,2,28000,4.00,2,4.0,1,,2 month; 2 month,OK,
ocelloids_xcm_monitoring_service,https://github.com/sodazone/xcm-monitoring,github.com/w3f/Grants-Program/blob/master/applications/ocelloids_xcm_monitoring_service.md,1,2,2,28000,4.00,2,4.0,1,,2 month; 2 month,OK,
offline_elction_tool,https://github.com/antiers-solutions/polkadot-staking-miner,github.com/w3f/Grants-Program/blob/master/docs/RFPs/offline_election_tool.md,1,1,,5000,,,1.84,3,,4 week; 2 week; 1 week; 1 week,OK,
offline_election_tool,https://github.com/antiers-solutions/polkadot-staking-miner,github.com/w3f/Grants-Program/blob/master/docs/RFPs/offline_election_tool.md,1,1,,5000,,,1.84,3,,4 week; 2 week; 1 week; 1 week,OK,
Omniverse_DLT,https://github.com/Omniverse-Web3-Labs/Omniverse-DLT-Introduction,github.com/w3f/Grants-Program/blob/master/applications/Omniverse DLT.md,2,3,4,30000,12.00,10,8.0,2,,4 month; 2 month; 2 month,OK,
On_chain_cash_exchange,https://github.com/bsn-si/ocex-smartcontract,github.com/w3f/Grants-Program/blob/master/applications/on-chain-cash.md,2,4,2,36100,8.00,11,4.0,2,,2 month; 1 month; 1 month,OK,
openbrush,https://github.com/727-Ventures/openbrush-contracts,github.com/w3f/Grants-Program/blob/master/applications/Syncra.md,3,2,,,,2,5.52,2,,12 week; 6 week; 6 week,OK,
openbrush_follow_up,https://github.com/Supercolony-net/openbrush-contracts,github.com/w3f/Grants-Program/blob/master/applications/ink-smart-contract-wizard.md,3,,,5000,,1,1.84,0,,4 week; 2 week; 2 week,OK,
openPayroll,https://github.com/polkadrys/openPayroll,github.com/w3f/Grants-Program/blob/master/applications/openPayroll.md,1,2,4,20000,8.00,4,8.0,1,,4 month; 4 month,OK,
openrollup-mvp-phase,https://github.com/open-rollup/pallet-open-rollup,github.com/w3f/Grants-Program/blob/master/applications/openrollup-mvp-phase-1.md,1,1.5,7.5,30000,11.25,1,15.0,1,,7 day; 7.5 month; 7.5 month,OK,
OpenSquare_offchain_voting,https://github.com/opensquare-network/collaboration,github.com/w3f/Grants-Program/blob/master/applications/OpenSquare-offchain-voting.md,1,,,,,6,,0,,2 week,OK,
OpenSquare_paid_qa,https://github.com/opensquare-network/paid-qa,github.com/w3f/Grants-Program/blob/master/applications/OpenSquare_paid_qa_protocol.md,1,5,,25000,,5,2.76,0,,6 week; 6 week,OK,
orochi-network-orosign-part1,https://github.com/orochi-network/orochi-networkhub.io,github.com/w3f/Grants-Program/blob/master/applications/orochi-network-orosign-part1.md,1,2,,10000,,6,2.0,1,,2 month,OK,
p2p_state_channels,https://github.com/peer3to/state-channels-plus,github.com/w3f/Grants-Program/blob/master/applications/P2PStateChannels.md,2,,3,100000,,,6.0,0,,3 month; 1.5 month; 1.5 month,OK,
pacificstore,https://github.com/vlbos/pacificstore-node,github.com/w3f/Grants-Program/blob/master/applications/pacific_store.md,1,1,,0,,5,5.52,2,,12 week; 6 week; 6 week,OK,
pallet_drand_client,https://github.com/random-meat/drand-substrate-client,github.com/w3f/Grants-Program/blob/master/applications/pallet-drand-client.md,1,1,2,28000,2.00,2,4.0,2,,2 month; 1 month; 1 month,OK,
pallet_supersig_decentration,https://github.com/kabocha-network/pallet_supersig,github.com/w3f/Grants-Program/blob/master/applications/pallet_supersig.md,3,2,,,,2,,3,,1 month; 7 week; 4 week; 4 week; 3 week,OK,
pallet-verifier,https://github.com/davidsemakula/pallet-verifier,github.com/w3f/Grants-Program/blob/master/applications/pallet-verifier.md,1,1,,30000,,1,,2,,4 month; 8 week; 8 week,OK,
PANIC,https://github.com/SimplyVC/panic,github.com/w3f/Grants-Program/blob/master/applications/Validator_Monitoring_Service.md,1,1.5,2,29000,3.00,4,4.0,2,,2 month; 1 month; 1 month,OK,
parachain_staking,https://github.com/PureStake/moonbeam,github.com/w3f/Grants-Program/blob/master/applications/web3-compatible-api.md,2,2,,2,,,1.38,0,,6 week,OK,
parallel,https://github.com/parallel-finance/parallel,github.com/w3f/Grants-Program/blob/master/applications/Parallel.md,2,4,4,9,16.00,2,7.68,2,,4 month; 8 week; 8 week; 28 day; 28 day,OK,
paraport,https://github.com/paraportxyz/app,github.com/w3f/Grants-Program/blob/master/applications/paraport_m1.md,1,2,3,30000,6.00,2,3.0,0,,3 month,OK,
ParaSpell,https://github.com/dudo50/ParaSpell,github.com/w3f/Grants-Program/blob/master/applications/ParaSpell.md,1,1,2,10000,2.00,,4.0,1,,2 month; 2 month,OK,
Paraspell-followup,https://github.com/paraspell/sdk,github.com/w3f/Grants-Program/blob/master/applications/ParaSpell_follow-up2.md,3,1,2,10000,2.00,3,4.0,1,,2 month; 2 month,OK,
ParaSpell-followup2,https://github.com/paraspell/sdk,github.com/w3f/Grants-Program/blob/master/applications/ParaSpell_follow-up2.md,1,1,2,10000,2.00,3,4.0,1,,2 month; 2 month,OK,
patron,https://github.com/Brushfam/patron-backend,github.com/w3f/Grants-Program/blob/master/applications/patron.md,1,,,,,16,,0,,7 week; 7 week,OK,
perun_app_channels,https://github.com/perun-network/perun-polkadot-pallet,github.com/w3f/Grants-Program/blob/master/applications/perun_app_channels.md,3,2,6,90000,12.00,6,12.0,3,,6 month; 2 month; 1.5 month; 2.5 month,OK,
perun_channels,https://github.com/perun-network/perun-polkadot-pallet,github.com/w3f/Grants-Program/blob/master/applications/perun_app_channels.md,2,2,6,90000,12.00,6,12.0,3,,6 month; 2 month; 1.5 month; 2.5 month,OK,
perun_integration,https://github.com/perun-network/perun-polkadot-pallet,github.com/w3f/Grants-Program/blob/master/applications/perun_app_channels.md,5,2,6,90000,12.00,6,12.0,3,,6 month; 2 month; 1.5 month; 2.5 month,OK,
php-rpc-lib,https://github.com/gmajor-encrypt/php-scale-codec,github.com/w3f/Grants-Program/blob/master/applications/php-scale-lib.md,2,,,12000,,1,3.22,0,,8 week; 4 week; 2 week,OK,
php-rpc-lib-follow-up,https://github.com/gmajor-encrypt/php-substrate-api,github.com/w3f/Grants-Program/blob/master/docs/RFPs/php-api.md,1,,,,,,,0,,,OK,
php-scale-lib,https://github.com/gmajor-encrypt/php-scale-codec,github.com/w3f/Grants-Program/blob/master/applications/php-scale-lib.md,2,,,12000,,1,3.22,0,,8 week; 4 week; 2 week,OK,
php-substrate-api,https://github.com/neha0921/substrate-interface-package,github.com/w3f/Grants-Program/blob/master/applications/php-substrate-api.md,1,2,,0,,4,,2,,15 day; 10 day; 5 day,OK,
Plus,https://github.com/Nick-1979/polkadot-Js-Plus-extension,github.com/w3f/Grants-Program/blob/master/applications/Plus-follow-up.md,2,1,3,,3.00,1,6.0,1,,3 month; 3 month,OK,
Plutonication,https://github.com/RostislavLitovkin/Plutonication,github.com/w3f/Grants-Program/blob/master/applications/Plutonication.md,4,0.83,2,25000,1.66,,6.0,4,,1 month; 2 month; 1 month; 1 month; 1 month; 1 month,OK,
pocs,https://github.com/auguth/pocs,github.com/w3f/Grants-Program/blob/master/applications/index.md,3,,,,,,,0,,,OK,
polkadart,https://github.com/rankanizer/polkadart,github.com/w3f/Grants-Program/blob/master/applications/Polkadart.md,4,4.,15,75000,60.00,5,30.0,4,,27 month; 15 month; 4 month; 1 month; 6 month; 4 month,OK,
Polkadart_extension,https://github.com/leonardocustodio/polkadart,github.com/w3f/Grants-Program/blob/master/applications/polkadart_extension.md,1,1.5,4,30000,6.00,3,8.0,2,,4 month; 1 month; 3 month,OK,
polkadart-followup,https://github.com/leonardocustodio/polkadart,github.com/w3f/Grants-Program/blob/master/applications/polkadart_extension.md,1,1.5,4,30000,6.00,3,8.0,2,,4 month; 1 month; 3 month,OK,
polkadex,https://github.com/Polkadex-Substrate/Polkadex,github.com/w3f/Grants-Program/blob/master/applications/polkadex.md,1,3.5,,1,,5,3.22,2,,7 week; 5 week; 2 week,OK,
polkadot_analytics_platform,https://github.com/mobr-ai/PolkadotAnalytics,github.com/w3f/Grants-Program/blob/master/applications/polkadot_analytics_platform.md,1,0.85,1,10000,0.85,,2.0,1,,1 month; 1 month; 10 day; 1 month; 1 month,OK,
polkadot-contract-wizard,https://github.com/protofire/polkadot-contract-wizard,github.com/w3f/Grants-Program/blob/master/applications/inkscope-fuzzer.md,2,1.5,3,30000,4.50,2,6.0,2,,3 month; 1 month; 2 month,OK,
polkadot_dart,https://github.com/Pocket4D/Polkadot-Dart,github.com/w3f/Grants-Program/blob/master/applications/Polkadart.md,1,4.,15,75000,60.00,5,30.0,4,,27 month; 15 month; 4 month; 1 month; 6 month; 4 month,OK,
polkadot-desktop-app,,,3,,,,,,,,,,NO_REPO,
polkadotjs-ecdsa,,,1,,,,,,,,,,NO_REPO,
polkadotjs-ecdsa-hardware,https://github.com/gluneau/polkadotjs-ecdsa-hardware,github.com/w3f/Grants-Program/blob/master/applications/polkadotjs-ecdsa.md,1,,,0,,,0.92,0,,2 week; 2 week,OK,
polkadot-js-extension-per-account-auth,,,1,,,,,,,,,,NO_REPO,
polkadotjs_no_code,https://github.com/ezcodeco/Bubble-Plugin-Polkadot.js,github.com/w3f/Grants-Program/blob/master/applications/polkadotjs_no_code.md,2,2,2,18000,4.00,4,4.0,2,,2 month; 1 month; 1 month,OK,
polkadot-js-plus-nomination-pools,https://github.com/Nick-1979/polkadot-Js-Plus-extension,github.com/w3f/Grants-Program/blob/master/applications/Plus-follow-up.md,1,1,3,,3.00,1,6.0,1,,3 month; 3 month,OK,
polkadot-js-plus-social-recovery-wallet,https://github.com/Nick-1979/polkadot-Js-Plus-extension,github.com/w3f/Grants-Program/blob/master/applications/Plus-follow-up.md,1,1,3,,3.00,1,6.0,1,,3 month; 3 month,OK,
Polkadot-Protocol-Conformance-Tests,https://github.com/LimeChain/polkadot-conformance,github.com/w3f/Grants-Program/blob/master/applications/polkadot_tests.md,1,2.5,,28,,2,,1,,4 week; 8 week; 8 week,OK,
polkadot-runtime-releaser,https://github.com/hack-ink/polkadot-runtime-releaser,github.com/w3f/Grants-Program/blob/master/applications/polkadot-runtime-releaser.md,1,1,,22500,,1,3.68,1,,8 week; 8 week,OK,
polkadot_tests,https://github.com/Zondax/polkadot-testing,github.com/w3f/Grants-Program/blob/master/applications/polkadot_tests.md,1,2.5,,28,,2,,1,,4 week; 8 week; 8 week,OK,
Polkadot_Web_UI,https://github.com/RidOne-technologies/polkadot-angular-identicon,github.com/w3f/Grants-Program/blob/master/applications/Polkadot_Web_UI.md,1,0.62,,4000,,1,2.07,1,,5 week; 4 week,OK,
PolkaFlow,https://github.com/justmert/eco-flow-frontend,github.com/w3f/Grants-Program/blob/master/applications/polkaflow.md,1,1,2,10000,2.00,1,4.0,1,,2 month; 2 month,OK,
polkaj_android_support,https://github.com/emeraldpay/polkaj,github.com/w3f/Grants-Program/blob/master/applications/Polkadot-Dart.md,2,5.3,5,1,26.50,2,10.0,4,,5 month; 1 month; 1 month; 1.5 month; 1.5 month,OK,
polkakey,https://github.com/w3finance/PolkaKey,github.com/w3f/Grants-Program/blob/master/applications/PolkaKey.md,2,,,0,,,1.84,0,,3 week; 2 week; 2 week; 1 week; 2 week,OK,
polkamask,https://github.com/PolkaGate/polkaMask,github.com/w3f/Grants-Program/blob/master/applications/polkamask.md,1,2,3,28000,6.00,5,3.0,0,,3 month,OK,
polkamusic,https://github.com/polkamusic/PolkaMusic-Core,github.com/w3f/Grants-Program/blob/master/applications/polkamusic.md,1,4,,12000,,4,3.68,2,,24 hour; 24 hour; 24 hour; 6 month; 8 week; 4 week; 4 Week,OK,
polkashots,https://github.com/midl-dev/polkadot-snapshot-generator,github.com/w3f/Grants-Program/blob/master/applications/polkashots.md,1,0.5,,1,,1,1.0,1,,24 hour; 24 hour; 1 month,OK,
polkastats,https://github.com/Colm3na/polkastats-backend-v3,github.com/w3f/Grants-Program/blob/master/applications/polkastats.md,3,,3,3,,,6.22,0,,3 month; 6 week; 4 week; 4 week,OK,
polk-auction,https://github.com/CrommVardek/polk-auction-core,github.com/w3f/Grants-Program/blob/master/applications/polk-auction.md,3,1.7,,6800,,1,2.99,3,,4 week; 6 week; 3 week,OK,
Polkawatch,,,2,,,,,,,,,,NO_REPO,
polket_toearnfun,https://github.com/polketio/polket-node,github.com/w3f/Grants-Program/blob/master/applications/index.md,2,,,,,,,0,,,OK,
pontem-network,https://github.com/pontem-network/sp-move,github.com/w3f/Grants-Program/blob/master/applications/Substrate_Move_System_Pallet_1.md,3,2,1,48,2.00,2,1.0,0,,1 month,OK,
preparing-polkadot-pallet-balances-for-formal-verification,https://github.com/.../preparing-polkadot-pallet-balances-for-formal-verification.md,github.com/w3f/Grants-Program/blob/master/applications/Preparing Polkadot pallet_balances for Formal Verification.md,1,,,,,2,,0,,1 Month; 1 month,OK,
PRIMIS,https://github.com/Primis-Labs/client,github.com/w3f/Grants-Program/blob/master/applications/Primis.md,1,3,,10000,,3,2.76,1,,6 week; 6 week,OK,
PrivaDEX_aggregator,https://github.com/kapilsinha/privadex,github.com/w3f/Grants-Program/blob/master/applications/PrivaDEX_aggregator.md,4,2,5.5,55000,11.00,3,11.0,4,,5.5 month; 1.5 month; 1 month; 1.5 month; 1.5 month,OK,
Profond,https://github.com/profondHQ/profond-psp22-contract,github.com/w3f/Grants-Program/blob/master/applications/Profond.md,2,2,,10,,7,2.0,2,,2 month; 1 month; 1 month,OK,
project_aurras_mvp_phase,https://github.com/HugoByte/aurras,github.com/w3f/Grants-Program/blob/master/applications/project_aurras_mvp_phase_2.md,5,4,,42880,,6,,4,27.789,528 Person Day,OK,
prosopo,https://github.com/prosopo-io/provider,github.com/w3f/Grants-Program/blob/master/applications/prosopo.md,2,,,,,,,0,,19 day; 5 month; 10 week; 546 hour; 8 week; 273 hour,OK,
